,id,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,Designation,MonthlyIncome,ProdTaken,marital_status,car,children_number
56,56,32,1,1,540.0,2,1,1.0,3.0,0,3.0,1,0,1,4.0,269895,0,3,1,0
57,57,50,1,2,960.0,1,1,1.0,3.0,1,4.0,5,1,1,2.0,427050,1,2,1,0
58,58,40,1,1,840.0,1,0,1.0,3.0,1,3.0,2,1,1,2.0,418080,0,0,1,0
59,59,26,1,2,1020.0,0,1,1.0,3.0,0,3.0,2,1,2,4.0,264615,1,3,0,0
60,60,47,0,2,900.0,2,1,1.0,3.0,1,3.0,2,1,1,2.0,415545,0,3,0,0
61,61,47,1,2,600.0,0,1,1.0,3.0,0,3.0,1,1,2,4.0,258915,1,1,1,0
62,62,39,1,2,960.0,1,0,1.0,3.0,2,4.0,5,0,1,1.0,507870,0,3,0,0
63,63,29,1,2,780.0,2,1,1.0,5.0,3,3.0,7,0,1,3.0,303960,0,1,0,0
64,64,44,0,2,420.0,2,1,1.0,5.0,3,3.0,1,0,2,3.0,309645,0,2,0,0
65,65,54,1,1,720.0,2,1,2.0,4.0,1,3.0,2,0,1,2.0,400000,0,1,1,0
66,66,51,1,2,420.0,1,1,2.0,4.0,2,3.0,3,0,2,1.0,479610,0,2,0,0
67,67,39,1,1,780.0,1,1,2.0,4.0,3,3.0,4,0,1,1.0,463050,0,2,1,0
68,68,25,1,1,420.0,2,1,2.0,4.0,0,3.0,2,0,2,4.0,270735,0,3,0,0
69,69,39,1,1,900.0,1,0,2.0,4.0,0,3.0,5,0,2,4.0,263865,0,1,0,0
70,70,39,0,2,780.0,2,0,2.0,4.0,0,3.0,3,0,2,4.0,316770,1,2,0,0
71,71,56,0,1,600.0,2,1,2.0,4.0,2,3.0,6,0,1,1.0,400000,0,2,1,0
72,72,39,0,3,360.0,2,0,2.0,4.0,1,3.0,4,0,2,2.0,358935,0,0,1,0
73,73,57,1,1,480.0,2,0,2.0,4.0,0,3.0,2,0,2,4.0,263010,0,3,1,0
74,74,37,1,1,780.0,0,1,2.0,4.0,0,4.0,7,0,2,4.0,273900,1,1,0,0
75,75,20,0,1,780.0,1,1,2.0,4.0,0,3.0,2,0,2,4.0,257295,0,1,0,0
76,76,39,1,2,840.0,2,1,2.0,4.0,1,4.0,5,0,2,2.0,438195,0,0,0,0
77,77,30,1,1,480.0,2,1,2.0,4.0,0,3.0,2,0,1,4.0,267480,0,1,1,0
78,78,35,1,3,720.0,1,1,2.0,4.0,1,4.0,1,0,2,2.0,438210,0,1,1,0
79,79,39,1,1,660.0,2,0,2.0,4.0,1,3.0,2,0,2,2.0,371820,0,1,0,0
80,80,39,1,3,1080.0,2,0,2.0,5.0,1,3.0,1,0,1,2.0,300000,0,1,0,0
81,81,38,0,2,300.0,1,1,2.0,4.0,1,3.0,5,0,2,2.0,410000,0,1,0,0
82,82,39,0,3,900.0,2,0,2.0,4.0,1,4.0,2,0,1,2.0,370000,0,2,0,0
83,83,39,0,1,1860.0,0,0,2.0,4.0,1,3.0,2,0,1,2.0,393705,0,0,0,0
84,84,39,0,2,840.0,2,0,2.0,4.0,0,3.0,5,1,2,4.0,263730,1,3,0,0
85,85,39,0,2,600.0,1,1,2.0,4.0,1,3.0,3,1,2,2.0,366900,0,3,1,0
86,86,43,0,2,660.0,2,1,2.0,4.0,0,3.0,5,1,2,4.0,262560,1,1,0,0
87,87,40,0,2,900.0,2,0,2.0,4.0,3,3.0,2,1,1,3.0,437895,0,1,0,0
88,88,39,0,1,540.0,0,1,1.0,3.0,0,3.0,1,0,3,4.0,269235,0,2,0,0
89,89,54,0,2,960.0,2,1,1.0,1.0,2,4.0,1,1,4,1.0,428610,0,2,0,0
90,90,39,1,2,900.0,0,0,1.0,4.0,0,3.0,1,0,3,4.0,243540,1,3,0,0
91,91,26,1,2,1020.0,1,0,1.0,3.0,0,3.0,2,0,4,4.0,256455,0,3,0,0
92,92,40,1,1,1380.0,1,1,1.0,3.0,0,3.0,1,0,5,4.0,252360,0,2,1,0
93,93,31,1,3,840.0,1,0,1.0,3.0,0,3.0,2,0,3,4.0,260000,0,1,1,0
94,94,27,1,2,900.0,1,0,1.0,1.0,0,3.0,2,0,3,4.0,256890,0,2,0,0
95,95,40,0,1,660.0,1,0,1.0,2.0,3,3.0,1,0,3,4.0,331515,0,3,0,0
96,96,39,1,1,1020.0,1,0,1.0,3.0,3,3.0,6,1,4,3.0,270870,1,2,0,0
97,97,33,0,2,540.0,2,1,2.0,4.0,0,3.0,1,0,4,4.0,320000,1,3,1,0
98,98,20,0,2,2100.0,2,1,2.0,4.0,0,3.0,3,0,3,4.0,262500,1,2,0,0
99,99,58,1,2,900.0,2,0,2.0,4.0,0,3.0,2,0,3,4.0,266790,0,1,0,0
100,100,33,0,1,1020.0,2,0,2.0,4.0,0,4.0,2,1,3,4.0,271980,1,3,0,0
101,101,20,1,2,660.0,2,1,2.0,4.0,0,3.0,2,1,4,4.0,300000,1,3,0,0
102,102,32,0,2,1680.0,2,1,2.0,4.0,0,3.0,5,1,4,4.0,349995,1,1,1,0
103,103,39,0,2,1200.0,1,0,2.0,4.0,0,3.0,7,0,4,4.0,270405,1,1,0,0
104,104,20,1,2,900.0,1,0,2.0,4.0,0,3.0,7,0,3,4.0,295065,1,3,1,0
105,105,51,0,2,900.0,2,0,1.0,4.0,0,3.0,2,0,2,4.0,274395,0,1,0,0
106,106,39,1,2,420.0,1,1,1.0,4.0,2,3.0,5,0,2,1.0,280200,0,1,1,0
107,107,26,1,3,660.0,1,1,1.0,4.0,1,3.0,3,1,2,2.0,370000,1,2,1,0
108,108,22,1,2,540.0,0,1,1.0,4.0,0,3.0,2,1,2,4.0,254535,1,3,1,0
109,109,46,0,1,600.0,1,1,2.0,3.0,3,3.0,3,0,2,3.0,355671,0,2,0,0
110,110,21,0,1,540.0,2,0,2.0,3.0,0,3.0,3,0,1,4.0,258405,0,3,1,0
111,111,39,1,2,840.0,1,1,2.0,3.0,1,3.0,3,0,2,2.0,344400,1,3,1,0
112,112,45,0,2,720.0,1,1,2.0,3.0,3,3.0,5,0,2,3.0,330000,0,1,1,0
113,113,33,0,1,420.0,2,0,2.0,3.0,0,3.0,1,0,1,4.0,254205,0,1,1,0
114,114,33,1,1,960.0,1,1,2.0,3.0,3,3.0,2,0,2,3.0,288480,0,1,0,0
115,115,56,1,2,900.0,1,0,2.0,3.0,2,3.0,2,0,2,1.0,500000,0,2,0,0
116,116,36,0,1,780.0,1,0,2.0,3.0,1,3.0,2,0,2,2.0,500000,0,2,1,0
117,117,39,1,1,1020.0,1,1,2.0,3.0,2,4.0,3,0,2,1.0,413865,0,3,0,0
118,118,39,0,2,360.0,2,1,2.0,3.0,2,4.0,1,0,2,1.0,460000,0,1,1,0
119,119,31,0,1,1020.0,0,0,2.0,4.0,0,3.0,5,0,1,4.0,257340,0,3,0,0
120,120,22,1,3,960.0,1,0,2.0,3.0,0,3.0,2,0,1,4.0,255405,0,3,1,0
121,121,39,1,2,960.0,2,0,2.0,3.0,0,4.0,5,0,2,4.0,270000,1,3,1,0
122,122,38,1,1,1080.0,2,0,1.0,3.0,0,3.0,5,0,3,4.0,249315,0,3,0,0
123,123,31,1,2,960.0,1,1,2.0,3.0,0,3.0,2,0,1,4.0,259680,0,1,0,0
124,124,18,1,2,480.0,0,1,2.0,3.0,0,3.0,7,0,2,4.0,242280,1,3,1,0
125,125,52,1,3,480.0,2,1,1.0,3.0,4,3.0,1,0,5,0.0,274515,0,3,0,0
126,126,45,1,3,540.0,0,0,1.0,3.0,0,3.0,4,0,3,4.0,264480,0,2,0,0
127,127,30,1,1,720.0,2,0,2.0,3.0,0,3.0,5,0,1,4.0,258390,0,1,1,0
128,128,39,1,2,840.0,1,1,2.0,3.0,3,3.0,2,0,2,3.0,260310,1,3,0,0
129,129,43,1,2,480.0,1,1,2.0,3.0,1,3.0,2,0,1,2.0,445575,0,1,0,0
130,130,43,0,3,960.0,2,1,2.0,3.0,1,4.0,2,0,1,2.0,436320,0,3,0,0
131,131,35,1,3,960.0,1,0,2.0,4.0,3,3.0,3,0,1,3.0,371775,0,2,0,0
132,132,26,1,1,840.0,2,0,1.0,3.0,0,3.0,2,0,4,4.0,267015,1,3,0,0
133,133,46,1,3,1020.0,0,0,2.0,3.0,1,4.0,5,0,2,2.0,336735,0,1,1,0
134,134,52,0,2,1020.0,2,1,2.0,3.0,1,4.0,2,0,1,2.0,404385,0,3,0,0
135,135,39,0,1,420.0,1,1,2.0,3.0,1,3.0,2,0,2,2.0,365130,0,1,0,0
136,136,39,0,2,540.0,0,0,2.0,3.0,2,4.0,2,0,2,1.0,483855,0,3,1,0
137,137,43,0,1,960.0,1,0,2.0,3.0,4,4.0,1,0,1,0.0,474720,0,3,0,0
138,138,46,0,1,780.0,2,1,2.0,3.0,0,3.0,4,0,2,4.0,257970,0,3,0,0
139,139,39,0,1,1020.0,2,0,2.0,3.0,0,3.0,1,0,2,4.0,268350,0,3,0,0
140,140,50,0,1,1020.0,1,0,2.0,3.0,3,3.0,1,0,2,3.0,400320,0,2,0,0
141,141,39,0,2,480.0,1,0,1.0,3.0,4,3.0,2,0,3,0.0,420780,0,2,0,0
142,142,50,1,1,780.0,1,1,1.0,3.0,1,3.0,1,0,4,4.0,269235,0,1,0,0
143,143,39,0,2,660.0,1,1,2.0,3.0,0,3.0,2,1,1,4.0,270540,0,3,0,0
144,144,27,0,2,420.0,1,0,2.0,3.0,0,3.0,1,1,2,4.0,258285,1,1,1,0
145,145,50,0,2,900.0,1,0,2.0,3.0,1,3.0,2,1,1,2.0,274380,1,3,0,0
146,146,36,1,3,840.0,2,0,2.0,3.0,2,3.0,4,1,1,1.0,431010,0,3,0,0
147,147,50,1,3,780.0,1,0,2.0,3.0,1,3.0,2,1,2,2.0,373845,0,0,0,0
148,148,34,1,2,840.0,2,1,3.0,5.0,0,3.0,6,0,1,4.0,355671,0,3,0,0
149,149,24,1,3,900.0,1,0,3.0,4.0,1,3.0,2,0,2,4.0,353670,0,2,1,0
150,150,53,0,1,840.0,1,1,3.0,4.0,2,3.0,3,0,2,1.0,449715,0,3,0,0
151,151,38,0,2,600.0,1,0,3.0,4.0,1,3.0,1,0,2,2.0,398475,0,1,1,0
152,152,45,0,1,480.0,1,0,3.0,4.0,1,3.0,2,0,2,2.0,390000,0,0,0,0
153,153,50,0,1,2160.0,2,1,3.0,4.0,2,3.0,3,0,1,4.0,490000,0,2,1,0
154,154,38,0,3,840.0,2,1,3.0,4.0,0,4.0,2,0,2,4.0,265110,0,3,0,0
155,155,39,0,1,480.0,0,1,3.0,4.0,2,3.0,3,0,2,1.0,385905,0,3,0,0
156,156,39,0,1,540.0,2,0,1.0,3.0,1,3.0,3,0,2,2.0,411855,0,3,0,0
157,157,30,0,1,480.0,1,1,1.0,3.0,0,3.0,1,0,2,4.0,257025,0,1,1,0
158,158,27,1,1,480.0,2,1,1.0,3.0,0,3.0,1,0,1,4.0,264345,0,3,0,0
159,159,31,0,2,480.0,2,1,1.0,3.0,0,3.0,7,0,2,4.0,251850,1,3,0,0
160,160,46,0,1,660.0,2,1,1.0,3.0,4,3.0,6,0,2,0.0,467460,0,1,0,0
161,161,40,1,1,420.0,1,0,1.0,3.0,2,3.0,2,0,2,1.0,476955,0,2,0,0
162,162,39,1,1,960.0,2,1,1.0,3.0,0,3.0,4,0,2,4.0,277005,0,3,0,0
163,163,39,0,1,420.0,0,0,2.0,4.0,0,3.0,2,0,2,4.0,245340,0,3,0,0
164,164,43,0,1,540.0,2,0,2.0,4.0,0,3.0,1,0,2,4.0,278595,0,1,1,0
165,165,27,1,2,900.0,0,1,2.0,4.0,0,3.0,6,1,2,4.0,296055,1,3,0,0
166,166,36,0,2,480.0,1,1,2.0,4.0,0,3.0,2,0,2,4.0,264990,0,3,0,0
167,167,40,1,1,840.0,2,0,1.0,1.0,1,3.0,1,0,1,2.0,430470,0,2,1,0
168,168,33,1,2,1080.0,2,1,1.0,3.0,2,3.0,1,0,1,4.0,342585,1,3,0,0
169,169,31,1,2,960.0,0,0,1.0,3.0,0,3.0,1,0,2,4.0,260000,1,3,0,0
170,170,31,1,2,840.0,1,0,1.0,3.0,3,3.0,2,0,1,3.0,332460,0,3,0,0
171,171,39,1,1,840.0,1,1,1.0,4.0,3,3.0,3,0,2,3.0,300000,0,3,1,0
172,172,26,0,2,1080.0,2,1,1.0,1.0,0,3.0,5,0,2,4.0,256650,1,1,0,0
173,173,39,1,1,780.0,2,1,1.0,3.0,0,3.0,2,0,1,4.0,275160,0,1,0,0
174,174,39,0,1,1440.0,2,1,2.0,3.0,2,3.0,7,0,2,1.0,428025,0,2,1,0
175,175,58,0,1,960.0,1,1,1.0,1.0,2,3.0,6,0,1,1.0,461010,0,2,1,0
176,176,31,1,3,960.0,2,1,1.0,3.0,0,3.0,2,0,1,4.0,245805,0,1,1,0
177,177,32,1,2,900.0,2,1,1.0,3.0,0,3.0,3,0,2,4.0,256545,1,3,0,0
178,178,60,0,1,660.0,2,1,1.0,1.0,2,4.0,6,1,1,1.0,400000,0,2,1,0
179,179,33,0,2,1380.0,2,0,1.0,1.0,0,3.0,2,1,1,4.0,260445,0,1,0,0
180,180,27,1,2,360.0,0,1,1.0,3.0,1,3.0,2,1,2,2.0,440280,1,3,0,0
181,181,40,0,2,720.0,1,1,2.0,4.0,2,3.0,2,0,2,1.0,481905,0,3,0,0
182,182,25,0,2,960.0,2,1,3.0,5.0,0,3.0,3,0,1,4.0,333030,1,1,0,0
183,183,28,1,2,540.0,2,1,3.0,5.0,0,3.0,7,0,2,4.0,310575,1,3,0,0
184,184,50,0,1,1080.0,0,1,3.0,5.0,0,3.0,5,0,2,4.0,306420,1,3,0,0
185,185,39,0,1,540.0,1,1,3.0,5.0,0,4.0,2,1,1,4.0,270780,1,1,0,0
186,186,22,0,2,840.0,1,1,2.0,5.0,0,3.0,3,0,2,4.0,310245,1,3,0,0
187,187,49,1,1,540.0,1,1,1.0,3.0,2,3.0,6,0,2,1.0,502545,0,3,0,0
188,188,24,0,2,480.0,2,1,2.0,4.0,0,3.0,1,0,3,4.0,261180,1,3,1,0
189,189,51,0,1,1200.0,1,1,2.0,4.0,0,3.0,7,0,3,4.0,300000,0,1,0,0
190,190,24,0,1,480.0,2,1,2.0,3.0,0,3.0,2,0,4,4.0,263715,1,2,1,0
191,191,31,1,2,840.0,2,1,2.0,3.0,0,4.0,2,0,4,4.0,261225,1,1,0,0
192,192,39,0,1,600.0,2,1,2.0,3.0,0,4.0,6,0,4,4.0,355671,0,2,0,0
193,193,39,0,2,600.0,2,0,2.0,3.0,3,3.0,1,0,4,3.0,262635,0,2,1,0
194,194,60,1,1,540.0,2,0,2.0,3.0,4,4.0,1,0,5,0.0,456855,0,1,1,0
195,195,46,1,2,1440.0,2,0,2.0,3.0,0,3.0,2,0,3,4.0,258810,0,1,0,0
196,196,39,1,2,540.0,2,0,2.0,3.0,0,4.0,2,0,4,4.0,268290,0,3,1,0
197,197,48,0,1,540.0,0,1,2.0,3.0,4,4.0,6,0,5,0.0,474525,0,1,0,0
198,198,54,0,2,840.0,2,1,2.0,3.0,1,3.0,5,0,4,2.0,440000,0,1,0,0
199,199,39,1,3,480.0,2,0,2.0,3.0,3,3.0,6,0,4,3.0,262305,0,2,0,0
200,200,47,0,2,660.0,2,0,2.0,3.0,1,4.0,2,0,3,2.0,400000,0,0,0,0
201,201,45,0,1,900.0,2,0,2.0,4.0,0,3.0,4,0,3,4.0,255885,0,1,0,0
202,202,28,0,1,960.0,0,0,2.0,4.0,0,4.0,2,0,3,4.0,260100,0,2,0,0
203,203,40,0,1,1080.0,0,0,2.0,4.0,0,3.0,5,0,3,4.0,267270,0,2,0,0
204,204,39,1,3,480.0,2,0,2.0,3.0,1,3.0,1,0,4,2.0,406605,0,0,0,0
205,205,59,1,1,600.0,2,0,2.0,3.0,1,3.0,5,0,3,2.0,450000,0,2,1,0
206,206,34,0,1,480.0,0,0,2.0,3.0,1,3.0,2,0,4,2.0,274290,0,0,0,0
207,207,39,1,1,780.0,0,0,2.0,3.0,1,4.0,2,0,5,2.0,358770,0,2,1,0
208,208,39,1,2,660.0,2,1,2.0,3.0,0,3.0,2,1,4,4.0,272220,1,2,1,0
209,209,39,1,2,1440.0,2,0,2.0,3.0,1,3.0,2,1,4,2.0,426015,0,0,1,0
210,210,30,1,1,1020.0,0,1,2.0,3.0,0,3.0,2,1,5,4.0,267405,0,2,0,0
211,211,52,0,1,900.0,1,1,2.0,3.0,1,4.0,3,0,3,2.0,412440,0,2,1,0
212,212,46,0,1,1500.0,1,0,2.0,3.0,0,3.0,1,0,4,4.0,270000,0,1,0,0
213,213,24,0,2,840.0,1,1,2.0,3.0,3,3.0,3,0,4,4.0,259515,0,1,1,0
214,214,30,0,2,780.0,1,1,2.0,3.0,1,3.0,2,0,3,3.0,265800,0,1,1,0
215,215,47,0,2,1920.0,1,1,2.0,3.0,3,3.0,5,0,3,3.0,343440,0,1,1,0
216,216,39,1,3,480.0,1,1,2.0,3.0,3,3.0,1,0,5,3.0,300000,0,2,0,0
217,217,39,0,1,840.0,1,1,2.0,3.0,1,3.0,5,0,4,2.0,364680,0,2,0,0
218,218,33,0,3,840.0,1,1,2.0,3.0,2,3.0,2,0,4,1.0,413730,0,1,1,0
219,219,31,1,2,540.0,1,1,2.0,3.0,0,3.0,3,0,4,4.0,397935,1,2,0,0
220,220,49,0,2,900.0,1,1,2.0,4.0,0,4.0,2,0,4,4.0,348930,0,2,1,0
221,221,39,1,2,540.0,1,1,2.0,3.0,0,3.0,1,0,4,4.0,274260,0,2,0,0
222,222,20,0,3,780.0,1,0,2.0,3.0,0,3.0,2,1,4,4.0,254850,0,1,1,0
223,223,26,1,2,840.0,1,0,2.0,3.0,0,4.0,1,1,3,4.0,349590,1,0,0,0
224,224,22,1,2,540.0,1,1,2.0,3.0,0,3.0,3,1,3,4.0,263400,1,2,1,0
225,225,50,1,2,600.0,1,1,1.0,4.0,2,3.0,2,0,1,1.0,546660,0,2,0,0
226,226,59,1,2,600.0,1,0,1.0,3.0,2,4.0,6,0,2,1.0,600000,0,3,1,0
227,227,39,1,1,1020.0,1,0,1.0,3.0,2,3.0,2,0,2,1.0,539070,0,3,0,0
228,228,40,0,2,780.0,2,1,2.0,4.0,1,3.0,7,0,3,2.0,360000,0,2,1,0
229,229,20,0,1,600.0,2,0,3.0,4.0,0,4.0,2,0,5,4.0,300000,0,1,1,0
230,230,57,0,2,480.0,2,0,1.0,5.0,4,4.0,4,0,1,0.0,538425,0,2,1,0
231,231,39,1,2,540.0,1,1,3.0,4.0,0,3.0,2,0,3,3.0,271605,0,1,0,0
232,232,38,0,3,1200.0,2,1,2.0,4.0,3,3.0,2,0,4,3.0,340000,0,1,0,0
233,233,36,0,3,900.0,2,0,2.0,4.0,3,4.0,5,0,3,3.0,400000,0,3,0,0
234,234,24,0,3,1620.0,1,1,2.0,5.0,3,3.0,3,0,4,3.0,334365,0,0,0,1
235,235,31,0,2,780.0,1,1,2.0,4.0,3,4.0,2,0,3,3.0,300000,0,1,1,0
236,236,39,0,2,780.0,2,1,2.0,4.0,3,3.0,1,1,3,3.0,343260,0,0,0,0
237,237,39,0,1,840.0,2,1,2.0,4.0,1,3.0,4,0,3,2.0,414075,0,1,1,1
238,238,32,1,1,540.0,2,0,2.0,4.0,0,3.0,2,0,3,4.0,322530,0,1,1,0
239,239,52,0,1,900.0,2,0,2.0,4.0,3,3.0,2,0,3,3.0,366495,0,2,1,0
240,240,30,1,1,600.0,2,1,2.0,4.0,0,3.0,5,0,3,4.0,259425,0,2,1,1
241,241,32,1,1,780.0,2,0,2.0,4.0,0,3.0,3,0,4,4.0,300000,0,2,0,0
242,242,39,1,1,960.0,1,1,2.0,4.0,1,3.0,5,1,3,2.0,428265,0,2,0,1
243,243,45,0,1,420.0,1,1,2.0,4.0,2,4.0,6,0,1,1.0,560000,0,3,0,0
244,244,40,1,2,900.0,0,1,2.0,4.0,1,3.0,1,0,2,2.0,340095,0,2,0,0
245,245,52,0,2,960.0,2,0,2.0,4.0,3,3.0,2,0,1,3.0,300000,0,0,1,1
246,246,39,1,3,960.0,2,0,2.0,4.0,1,3.0,2,0,1,2.0,406695,0,1,0,1
247,247,56,0,2,660.0,1,1,2.0,4.0,3,3.0,1,0,1,3.0,350340,0,2,1,1
248,248,40,0,1,840.0,2,1,3.0,4.0,1,3.0,1,0,2,2.0,390375,0,1,0,0
249,249,51,1,1,480.0,0,0,2.0,4.0,2,3.0,3,0,2,4.0,393765,0,2,0,1
250,250,47,0,1,780.0,2,0,2.0,4.0,3,3.0,2,0,2,3.0,350000,0,2,0,0
251,251,36,0,1,360.0,2,1,2.0,4.0,0,4.0,1,0,2,4.0,270000,0,2,1,1
252,252,39,0,2,540.0,1,1,3.0,4.0,0,3.0,1,1,1,4.0,400000,1,3,0,0
253,253,40,0,1,1260.0,2,0,2.0,4.0,1,3.0,2,1,1,2.0,418560,0,0,0,1
254,254,32,1,1,720.0,2,0,2.0,4.0,0,3.0,4,1,2,4.0,259680,0,1,1,1
255,255,43,1,2,1980.0,2,1,2.0,5.0,3,3.0,8,0,3,3.0,454845,0,2,0,1
256,256,30,1,2,540.0,1,0,2.0,5.0,3,3.0,1,0,3,3.0,324465,0,0,0,1
257,257,38,0,2,1500.0,1,1,2.0,5.0,3,4.0,8,0,3,3.0,339690,0,0,0,1
